Unit	Page	Verses	Attributions	Biblical	Comment
674Ph	62r	Rom.12.3	Φωτ(ιου) *  		παντὶ τῶν ὄντι ἐν ὑμῖν Τὸ παντὶ τῷ ὄντι ἐν ὑμῖν διαφόρως ἐγχωρεῖ νοηθῆναι ἢ ὅτι λέγω παντὶ τῷ ὄντι ἐν ὑμῖν τοῦτ' ἔστι πᾶσι λέγω πᾶσι παραινῶ καὶ ταύτην τὴν ἐξουσίαν ἐκ τῆς χάριτος ἔχω ἢ λέγω μὴ ὑπερφρονεῖν ὑμᾶς ἐν παντὶ χαρίσματι τῷ ὄντι ἐν ὑμῖν ταύτην γὰρ τὴν ἔννοιαν καὶ τὰ ἐπαγομενα δηλοῖ ἐν οἷς φησιν ἑκάστῳ ὁ θεὸς ἐμέρισε καὶ ἑξῆς σοφῶς δὲ λίαν καὶ συνετῶς προέταξε μέλλων αὐτοὺς νουθετεῖν εἰς τὸ μὴ ὑπερφρονεῖν τὸ διὰ τῆς χάριτος τοῦ θεοῦ ἐπειδὴ γὰρ καὶ τὸ νουθετεῖν καὶ ἐπιτάττειν ἄλλοις ἐνίοτε ἐξ ὑπερφροσύνης γίνεται προλαβὼν ἰάσατο τοὺς τοιούτους λογισμοὺς οὐκ ἔστι φησὶν ἐξ ἐμῆς ὁρμῆς τὸ νουθετεῖν ὑμᾶς διὰ τῆς χάριτος τοῦτο ποιῶ τοῦ θεοῦ αὐτὸς κελεύει αὐτοῦ τὸ ἐπίταγμα πληρῶ δεῖ οὖν πείθεσθαι καὶ μὴ ἀντιλέγειν 
675	62r	Rom.12.3	οε  	μὴ ὑπερφρονεῖν παρ' ὁ δεῖ φρονεῖν 	μὴ παρὰ τὰ μέτρα φησιν ἡμῶν φρονῶμεν τοῦτο γὰρ ἀνοίας ἡ ἀπονοίας ἐστιν 
676	62r	Rom.12.3	οϛ  	ἀλλὰ φρονεῖν εἰς τὸ σωφρονεῖν 	φρόνησιν γὰρ ἐλάβομεν οὐχ ἵνα εἰς ἀπόνοιαν αὐτῆι χρησώμεθα καὶ μωράνωμεν αὐτὴν ἂλλ ἵνα εἰς σωφροσύνην τουτέστιν εἰς τὸ ὑγιαίνειν τὴν διάνοιαν ταύτην γάρ νυν σωφροσύνην καλεῖ οὐ τὴν πρὸς τὴν ἀσέλγειαν ἀντιδιαστελλομένην 
677	62r	Rom.12.3	οζ  	ἑκάστωι ὡς ὁ θεὸς ἐμέρισε μέτρον 	ἦσαν τινες παρ' αὐτοῖς χαρισμάτων ἠξιωμένοι καὶ οἱ μὲν ἐφρόνουν μέγα ἐπ' αὐτοῖς καὶ ἀπενοοῦντο κατὰ τῶν ἄλλων οἱ δὲ ἐζήλουν καί φησι τι ἀπονοῇ ἡ τι παραζηλοῖς εἰ ὁ θεὸς ἐμέρισε πάντως καλῶς καὶ συμφερόντως ἐμέρισε στοιχείτω τοιγαροῦν ἕκαστος ὧι ἔχει καὶ μήτε ὑπεραιρέσθω θεοῦ γὰρ δόσις ἐστιν ουσον κατόρθωμα μήτε ζηλούτω ὁ θεὸς γὰρ ἐμέρισε καὶ οἶδεν τὸ εκαστως πρέπον καὶ ἁρμόδιον 
678	62r	Rom.12.3	οη  	πίστεως 	ἐξ ὧν εἰς αὐτό φησι ἐμμενέτω καὶ μήτε ζηλούτω μήτε υπεραιυρεσθω πίστεως δέ φησι χαρίσματος 
678Ph	62r	Rom.12.3	Φωτ(ιου) *  		ἑκάστωι ὡς ὁ θεός Πῶς ἐμέρισεν κατὰ φιλοτιμίαν μὴ γένοιτο ἀλλὰ πῶς κατὰ τὸ μέτρον τῆς πίστεως πίστεως δὲ οὐ τῆς κατὰ τὴν λατρείαν φησὶν πάντες γὰρ πιστοὶ καὶ εὐσεβεῖς καὶ τέλειοι ἐν αὐτῇ εἰσι δηλονότι οἱ χαρισμάτων ἀξιωθέντες ἀλλὰ τῆς κατὰ τὰ χαρίσματα νῦν φησι πίστεως καθὼς καὶ ἐν Εὐαγγελίοις εἴρηται κύριε δὸς ἡμῖν πίστιν καὶ πάλιν ἐὰν ἔχητε πίστιν ὡς κόκκον σινάπεως καὶ πάλιν διὰ τὴν ὀλιγοπιστίαν ὑμῶν δῆλον γὰρ ὡς ἕτερον τοῦτο τὸ σημαινόμενον τῆς πίστεως παρὰ τὸ ἐπὶ τῆς εὐσεβείας λαμβανόμενον 
679	62r	Rom.12.4	οθ  	καθάπερ γὰρ ἐν ἑνὶ σώματι μέλη πολλὰ ἔχομεν τὰ δὲ μέλη πάντα οὐ τὴν αὐτὴν ἔχει πρᾶξιν 	τι γὰρ σύ φησι μέγα φρονεῖς τι δὲ σὺ ζηλοῖς οὐ πάντες ἐσμεν σῶμα ἐν μέλη δὲ ἀλλήλων καὶ οὐκ εἶπεν ὁ εὐτελὲς δοκῶν ἔχειν χάρισμα μέλος ἐστι τοῦτο μεῖζον ἔχοντος ἂλλ ὅτι καὶ ὁ τὸ μεῖζον ἔχων τοῦ τὸ εὐτελὲς τῆι ἀνακρίσει θέλων καὶ τούτους καταστεῖλαι κἀκείνους παραμυθήσασθαι 
680	62r	Rom.12.5	π  	οὕτως οἱ πολλοὶ ἐν σῶμὰ ἐσμεν ἐν Χριστῶι ὁ δὲ καθ' εἰς ἀλλήλων μέλη 	πρὸς τοῦτο αὐτο ὅρα ἡ παραβολὴ ὥσπερ φησι τὰ μέλη διάφορον ἐγκεχείρισται πρᾶξιν οὕτως διαφορὰ ἐδόθη παρὰ τοῦ πνεύματος χαρίσματα 
681	62v	Rom.12.6	πα  	ἔχοντες δὲ χαρίσματα κατὰ τὴν χάριν τὴν δοθεῖσαν ἡμῖν 	εἰ ὁ θεὸς ἐχαρίσατο σύ τι μέγα φρονεῖς μὴ γὰρ σὸν κατόρθωμα τὰ χαρίσματα θεοῦ φησιν ἡ δόσις 
682	62v	Rom.12.6	πβ  	διαφορά 	καλῶς τὸ διαφορὰ ἵνα δείξῃ οὐ τὸ μὲν μέγα τὸ δὲ μικρὸν μεγάλα γὰρ ἅπαντα ἀλλὰ ποικίλα καὶ ἁρμόδια 
682Ph	62v	Rom.12.6	Φωτ(ιου) *  		ἔχοντες δεῖ χαρίσματα ∆υσὶ τρόποις ἐσχημάτισται ὅλον τὸ χωρίον τοῦτο ἕως τοῦ εἴτε ὁ παρακαλῶν ἐν τῇ παρακλήσει ποίοις τούτοις τῷ λεγομένῳ ἀπὸ κοινοῦ καὶ τῷ ἐλλειπτικῷ καὶ γὰρ τὸ ἔχοντες ἀπὸ κοινοῦ καθ' ἕκαστον κῶλον παραλαμβάνεται οἷον εἴτε προφητείαν ἔχει τις εἴτε διακονίαν ἔχει τις τοῦτο δὲ τὸ ἀπὸ κοινοῦ καὶ ζεῦγμα καλεῖται ὅτι συζεύγνυσι πληθυντικὸν ἑνικῷ καὶ μετοχὴν ῥήματι οὕτως οὖν ἀπὸ κοινοῦ τὸ ἔχοντες κατὰ τὸ ζεῦγμα λαμβανόμενον ἀπηρτισμένην κατὰ τοῦτο τέως τὴν ἔννοιαν καὶ τὰ χωρία ποιεῖ ἐλλειπτικῷ δὲ πάλιν ἐσχημάτισται ὅτι λείπει τι πρὸς αὐτοτέλειαν τοῦ νοήματος οἷον τὸ μενέτω ἐν ᾧ ἔλαβεν ἕκαστος χαρίσματι ἢ ἀρκείσθω ἢ στοιχείτω ἤ τι τοιοῦτον οἷον εἴτε προφητείαν ἔχει τις εἴτε διακονίαν μενέτω ἕκαστος καὶ ὁ τὴν προφητείαν ἔχων καὶ ὁ τὴν διακονίαν καὶ ὁ τὴν διδασκαλίαν καὶ ὁ τὴν παράκλησιν ἔχων καὶ ἁπλῶς ἕκαστος ἐν ᾧ ἔλαβε χαρίσματι καὶ πολλὴ ἐστιν ἡ τῶν τοιούτων χρῆσις παρὰ τῷ θαυμασίῳ Παύλῳ καὶ μὴ θαυμάσῃς εἰ ἀμαθὴς ὢν τούτων ἐκέχρητο τούτοις ἡ γὰρ χάρις ἡ τὰ μείζω χορηγοῦσα καὶ τῶν εὐτελῶν πολλάκις παρεῖχε τὴν γνῶσιν οὐχ ὡς μέγα τι τούτων ὑπαρχοντων τὶ γὰρ ἂν καὶ εἴη περὶ λέξεις καὶ συλλαβὰς καὶ τὴν τούτων συνθήκην μικρολογουμένων ἀνθρώπων πόνος καὶ ὀνοματα οὔκουν ὡς μεγάλων τινῶν ὄντων τούτων ἐκέχρητο τούτοις ἀλλ' εἰς τὸ καταισχύνειν τοὺς ἐπὶ τοῖς τοιούτοις μέγα φρονοῦντας καὶ κερδῆσαι αὐτοὺς εἰς ταπεινοφροσύνην καὶ ὑπακοὴν τῆς αὐτοῦ νουθεσίας ἄοκνα γὰρ ὑπῆρχεν ἅπαντα Παύλῳ ὅσα σωτηρίαν ἔφερεν ἀνθρώποις διὸ καὶ χρήσεις ποιητικῶν στίχων καὶ ἱστορίας Ἑλληνικὰς καὶ μυρία τοιαῦτα οὐκ ὀκνεῖ προκομίζειν ἂν μόνον καὶ διὰ τούτων ἐλπίζῃ τινὰ σωτηρίαν ἀνθρώπων ἁρπάσαι βαβαὶ τῆς τηλικαύτης ψυχῆς καὶ σπουδῆς καλῶς δὲ καὶ τῷ τοιούτῳ κέχρηται τῶν λόγων εἴδει καὶ πάλιν τοῦ ἀποστολικοῦ καὶ ἁπλοῦ καὶ εὐγενοῦς καὶ ἀπεριέργου χαρακτῆρος οὐκ ἀφίσταται εἰ μὲν γὰρ οὐδ' ὅλως ἐκέχρητο τούτοις ἀδυναμίαν ἂν οἱ πάντα τολμῶντες καὶ ἰδιωτισμὸν ᾐτιάσαντο ὅπου καὶ νῦν τινες μὴ συνιέντες τὰ τοιαῦτα ἀπορίαν αὐτὸν τῶν τοιούτων ἔχειν ἐξ ὧν οὐδ' αὐτοὶ συνίσασιν ὑπολαμβάνουσιν εἰ δ' αὖ πάλιν τούτοις διὰ παντὸς ἐχρῆτο ὁ ἀποστολικὸς χαρακτὴρ ἐν τοῖς παρεωραμένοις ἐτίθετο διῄτησιν οὖν συνετῶς καὶ πανσοφως ἄμφω ἐχρήσατο μὲν γὰρ ἐκείνοις ὥστε δεῖξαι ῥᾴδιον εἶναι βουλομένῳ τὸ τοιοῦτον καὶ ὅτι οὐκ ἀγνοεῖ ἐνέμεινε δὲ τῷ ἀποστολικῷ χαρακτῆρι τὴν εὐγένειαν καὶ τὸ ἀπερίεργον καὶ καθαρὸν καὶ αὐτοφυὲς τοῦ λόγου τιμῶν τὶ οὖν μὴ καὶ οἱ λοιποὶ οὕτω τοὺς ἑαυτῶν κατέμιξαν λόγους ἀρκεῖ καὶ οὗτος μόνος δεῖξαι ὅτι κἀκείνοις ῥᾷον ἦν εἴπερ ἐβούλοντο ποιεῖν καίτοι καὶ ἐν ταῖς ἐκείνων ἐπιστολαῖς ἐστιν εἰ καὶ σπανιώτερον τὰ τοιαῦτα εὑρεῖν εἰ δὲ τὸ ἔχοντες χαρίσματα μηδαμοῦ ἀναπαυστέον μέχρι τοῦ εὐλογεῖτε τοὺς διώκοντας ὑμᾶς ἄλλη μὲν διάνοια ἀνακύψει μονοσχημάτιστος δὲ ἡ σύνταξις ἔσται εἰς πνεῦμα δὲ λίαν ἡ περίοδος ἀποτεταμένη 
683	63r	Rom.12.6	πγ  	εἴτε προφητείαν κατὰ τὴν ἀναλογίαν τῆς πίστεως 	νυν δείκνυσιν ὅτι τῶν δοκούντων μειζόνων χαρισμάτων οἱ λαμβάνοντες εἰσιν αἴτιοι πρὸς τὸ λαβεῖν εἰ γὰρ καὶ χάρις ἐστι τοσοῦτον μέντοι ἐπιῤῥει ὅσον ἂν εὕρῃ σκεῦος ἐπιτήδειον ἑαυτῶι καταστῆσαν διὰ τῆς πίστεως 
683ex	63r	Rom.12.6	 s 	πίστεως 	ἔχομεν φησιν 
684	63r	Rom.12.7-Rom.12.8	πδ  	εἴτε διακονίαν ἐν τῆι διακονίαι εἴτε ὁ διδάσκων ἐν τῆι διδασκαλία εἴτε ὁ παρακαλῶν ἐν τῆ παρακλήσει 	ἡ διακονία γενικόν τι ἐστι πάντα γὰρ εἰς διακονίαν δίδοται τὰ χαρίσματα λοιπὸν δὲ καὶ τοῖς ἰδικοῖς ἐπεξέρχεται 
684exa	63r	Rom.12.8	 s 	διακονίαν 	ἔλαβε τις 
684exb	63r	Rom.12.8	 s 	τῆι διακονίαι 	μενέτω φησιν 
684exc	63r	Rom.12.8	 s 	ὁ διδάσκων 	ἔλαβε φησι χάρισμα διδασκαλίας ἀπὸ κοινοῦ τὸ μενέτω 
684exd	63r	Rom.12.8	 s 	παρακαλῶν 	χάρισμα φησιν ἔλαβε παρακλήσεως ἐν τῆι παρακλήσει μενέτω 
685	63r	Rom.12.8	πε  	ὁ μεταδιδοὺς ἐν ἁπλότητι 	λοιπὸν δείκνυσιν ὅτι οἱ κακῶς τοῖς χαρίσμασι χρώμενοι ἀνόνητα αυτὰ ποιοῦσιν 
685Ph	63r	Rom.12.8	Φωτ(ιου) *  		ὁ μεταδιδυος Ἐπειδὴ τὰ χαρίσματα ἢ ἐν δοσει τὴν ἐνέργειαν αὐτῶν ἐπιδείκνυσιν ἢ ἐν προστασίᾳ ἢ ἐν ἐλέῳ φησὶν ὅτι οὐχ ἁπλῶς ταῦτα δεῖ ἐπιτελεῖν ἀλλὰ διδόναι μὲν μετὰ ἁπλοτητος καὶ χαρᾶς οὐχ ὡς ζημιούμενον τι ἀλλὰ μᾶλλον κερδαίνοντα καὶ προΐστασθαι μὴ ἀμελῶς ἀλλ' ὑπὲρ ἑαυτοῦ σπουδάζοντα καὶ ἐλεεῖν ἱλαρῶς καὶ εὐθύμως ὡς αὐτον τι καρπούμενον ἔσται δὲ ταῦτα πῶς ἂν ἀγάπην ἔχωμεν πρὸς ἀλλήλους ἀγάπην δὲ μὴ πεπλασμένην καὶ ἐν ὑποκρίσει ἀλλ' ἄπλαστον καὶ ἀνυποκριτον καὶ τελείαν καὶ ἀληθῶς ἀγάπην 
686	63r	Rom.12.8	πϛ *  	ὁ προϊστάμενος ἐν σπουδῆι 	οὐ γὰρ ἀρκεῖ τὸ προστῆναι μόνον 
687	63r	Rom.12.8	πζ  	ὁ ἐλεῶν ἐν ἱλαρότητι 	μὴ ὡς ζημιούμενος ἂλλ ὡς αὐτος μᾶλλον κερδαίνων ἔνθεν γὰρ συμβήσεται τὸ ἱλαρόν 
688	63r	Rom.12.9	πη  	ἡ ἀγάπη ἀνυπόκριτος 	μὴ πλάσμα ἀγάπης ἔστω ἀλλὰ ἀγάπη ἧς οὔσης κατορθοῦται τὰ εἰρημένα 
688ex	63r	Rom.12.9	 s 	υποκριτος 	ἔστω φησιν 
689	63r	Rom.12.9	πθ  	ἀποστυγοῦντες τὸ πονηρὸν κολλώμενοι τῶι ἀγαθῶι 	μὴ μόνον ἀπεχόμενοι ἀλλὰ καὶ λίαν μισοῦντες τοῦτο γὰρ δηλοῖ τὸ ἀπὸ εἶτά φησι μὴ μόνον μισήσητε τὸ πονηρὸν ἀλλὰ καὶ ἔχεσθε τοῦ ἀγαθοῦ τὸ δὲ κολλώμενοι τὴν πρὸς αὐτο διάθεσιν ἐμφαίνει 
690	63r	Rom.12.9	ϟ *  		ἑνὶ γὰρ είναι ἀγάπην καὶ ἐπὶ αἰσχροῖς 
690Ph	63r	Rom.12.9	Φωτ(ιου) *  		κολλώμενοι τῶι αγαζωι Πῶς ἐστι κολληθῆναι τῷ ἀγαθῷ ἐν τῇ φιλαδελφίᾳ φησὶ τοῦτ' ἔστι διὰ τῆς φιλαδελφίας ἐν τούτῳ γὰρ γνώσονται πάντες ὅτι ἐμοὶ μαθηταὶ ἐστε καὶ ἑξῆς ὁ δὲ μαθητὴς φυλάττων τὰ μαθήματα κεκόλληται καὶ ἥνωται τῷ διδασκάλῳ ὅπερ ἐστὶ τὸ κυρίως ἀγαθον ὁ κύριος ἡμῶν Ἰησοῦς Χριστὸς ἀλλὰ πόθεν φύεται ἡ φιλαδελφία πόθεν ἐστὶ θηρᾶσαι αὐτὴν ἐκ τοῦ προηγεῖσθαι ἀλλήλους φησὶ τῇ τιμῇ ὡς ἀληθῶς γὰρ ἀρχὴν λαμβάνει φιλία ἀσφαλῆ ἐὰν ἕκαστος ἀγωνίζηται προλαβεῖν εἰς τὸ τιμῆσαι τὸν πλησίον 
691	63v	Rom.12.10	ϟα  	τῆ φιλαδελφία εἰς ἀλλήλους φιλόστοργοι τῆι τιμῆι ἀλλήλους προηγούμενοι 	εἰ γὰρ σχοίητέ φησι φιλαδελφίαν φιλήσετε πάντως ἀλλήλους ἀδελφοὶ γὰρ ἐστε εἶτα λέγει πως ἂν ἡ φιλαδελφία κατορθωθείη εἰ ἕκαστος φησι ἡγεῖται τῆς πρὸς ἀδελφον τιμῆς 
692	63v	Rom.12.11	ϟβ  	τῆι σπουδῆι μὴ ὀκνηροί 	καὶ γὰρ τοῦτο ἀγάπην τίκτει ὅταν μὴ τιμῶμεν μόνον ἀλλὰ καὶ ὑπερσπουδάζωμεν 
693	63v	Rom.12.11	ϟγ  	τῶι πνεύματι ζέοντες 	ζεον ἐν ἑαυτοῖς ἔχετε καὶ διατεθερμαμένον τὸ ἅγιον πνεῦμα ἔσται δὲ τοῦτο εὰν ζῶμεν ἐν καλοῖς ἔργοις 
694	63v	Rom.12.11	ϟδ  	τῶι κυρίωι δουλεύοντες 	διὰ τῶν εἰρημένων γὰρ ἐκγενήσεται ἡμῖν δουλεύειν τῶι κυρίωι 
695	63v	Rom.12.12	ϟε  	τῆι ἐλπίδι χαίροντες 	πως δ' ἂν γένοιτο ζέειν τῶι πνεύματι εὰν τῆι ἐλπίδι χαίρητέ φησιν οὐδὲν γὰρ οὕτως πρὸς πάντα ποιεῖ πρόθυμον ὡς ἐλπὶς καλὴ καὶ εάν φησιν υπομενητε καὶ εὰν εὐχὴν ἀδιάλειπτον ἔχητε 
696	63v	Rom.12.12	ϟϛ  	τῆι θλίψει ὑπομένοντες 	ἡ γὰρ ὑπομονὴ τίκτει δοκιμήν 
697	63v	Rom.12.12	ϟζ  	τῆι προσευχῆι προσκαρτεροῦντες 	ταύτης γὰρ βοηθούσης ἔσται ῥάιδια πάντα 
698	63v	Rom.12.13	ϟη  	ταῖς χρείαις τῶν ἁγίων κοινωνοῦντες 	ἐν οἷς ἂν ἐν χρεία γένωνται 
699	63v	Rom.12.13-Rom.12.14	ϟθ  	τὴν φιλοξενίαν διώκοντες εὐλογεῖτε τοὺς διώκοντας ὑμᾶς 	μὴ μείνῃς φησιν ἐκεῖνον ἐλθεῖν πρός σε ἐρυθριᾷ γὰρ ἀλλὰ σὺ δίωξον αὐτον 
700	63v	Rom.12.14	ρ  	εὐλογεῖτε καὶ μὴ καταρᾶσθε 	διδάξας πως δέοι διακεῖσθαι πρὸς τοὺς ἀδελφοὺς διδάσκει πως καὶ πρὸς τοὺς πολεμίους ὅρα δὲ οὐκ εἶπε μὴ ἀμύνου μηδὲ καταρῶ ἂλλ ὁ μεῖζον εὐλόγει καὶ ὑπερεύχου 
701	63v	Rom.12.15	α  	χαίρειν μετὰ χαιρόντων καὶ κλαίειν μετὰ κλαιόντων 	μὴ μόνον φησι ῥήμασιν εὐλογεῖτε ἀλλὰ καὶ ἔργοις χαίρουσι μὲν συγχαίροντες ἀλγοῦσι δὲ συναλγοῦντες μεῖζον δὲ τὸ συγχαίρειν χαίρουσιν ὅσον ἡ εὐημερία τῶν πλησίον καὶ φθόνου πρόφασις τοῖς ἀσεβέσι γίνεται 
702	63v	Rom.12.16	β  	τὸ αὐτο εἰς ἀλλήλους φρονοῦντες μὴ τὰ ὑψηλὰ φρονουτες ἀλλὰ τοῖς ταπεινοῖς συναπαγόμενοι 	οἷον μέγαν σεαυτὸν νομίζεις τοιοῦτον νόμιζε καὶ τὸν ἀδελφον κἂν πένης ἦι ἐπεὶ μὴ ἐστι πλούτου καὶ πενίας διάκρισις παρὰ θεῶι πως δ' ἂν γένοιτό σοι τοῦτο εὰν μὴ φρονῇς περὶ σεαυτοῦ ὑψηλὰ ἀλλὰ συμφέρῃ καὶ συναπάγῃ τοῖς ταπεινοῖς καὶ εἰς τὴν ἐκείνων συγκαταβαίνης εὐτέλειαν ἐκ δὴ τούτων τὴν κενοδοξίαν καταστέλλει εἰκὸς γὰρ ἦν αὐτοὺς διὰ τὴν πόλιν τούτωι κατισχῆσθαι τῶι πάθει 
702Pha	63v	Rom.12.16	Φωτ(ιου) *  		Ταῖς χρείαις τῶν ἁγίων κοινωνοῦντες τὴν πρὸς τοὺς ἁγίους ἐλεημοσύνην εἰσάγει διὸ καὶ ἐφύλαξεν αὐτὴν ἐν ἐξαιρέτῳ ἄνω μὲν περὶ καθολικῆς εἶπεν ἐλεημοσύνης κοινωνοῦντες φησὶν κοινωνία γὰρ τὸ πρᾶγμα σὺ μὲν γὰρ εἰσφέρεις χρήματα αὐτοῖς ἐκεῖνοι δὲ σοὶ τὴν πρὸς θεὸν παρρησίαν καὶ τὰ μυρία ἀγαθά 
702Phb	64r	Rom.12.16	Φωτ(ιου) *  		μὴ τὰ ὑψηλὰ φρονοῦντες Πως δ' ἂν γένηταί σοι τοῦτο εὰν μὴ φρονῇς περὶ ἑαυτοῦ ὑψηλὰ ἀλλὰ συμφέρῃ κα συναπάγῃ τοῖς ταπεινοῖς καὶ εἰς τὴν ἐκείνων συγκαυαβαινης εὐτέλειαν ἐκ δὲ τούτων τὴν κενοδοξίαν καταστέλλει εἰκὸς γὰρ ἦν αὐτοὺς διὰ τὴν πόλιν τούτωι κατεσχῆσθαι τῶι πάθει 
703	64r	Rom.12.16	γ  	μὴ γίνεσθε φρόνιμοι παρ' ἑαυτοῖς 	τουτέστι μὴ ἡγεῖσθε είναι σοφοὶ καὶ μηδενὸς νοήματος ἐνδεεῖς φησιν γὰρ ἡ γραφὴ οὐ αἱ οἱ συνετὸ παρ' ἑαυτοῖς καὶ ἐνώπιον αὐτῶν ἐπιστήμονες 
704	64r	Rom.12.17	δ  	μηδενὶ κακὸν ἀντὶ κακοῦ ἀποδιδόντες 	εἰ γὰρ ψεκτὸς καὶ ἄθλιος ὁ ποιῶν τὸ κακὸν ἵνα τι μὴ φεύγῃς τὴν μίμησιν τῶν κακῶν ἀλλὰ τῶ ἀμύνασθαι ἔνοχον σαυτὸν καθιστὰς καὶ κοινωνὸν τῆι ἀσέβεια 
705	64r	Rom.12.17	ε  	προνοούμενοι καλὰ ἐνώπιον πάντων ἀνθρώπων 	τοῦτό φησιν ὅτι πρόνοιαν ποιεῖσθε τοῦ καλοὶ φαίνεσθαι ἐν τῶι μηδενὶ διδόναι ψόγου πρόφασιν ἡ ἐπειδὴ ἄνω εἶπε μηδενὶ κακὸν ἀντὶ κακοῦ ἀποδιδόντες προσέθηκε καὶ τὸ προνοούμενοι καλὰ ὡς εἰ ἔλεγεν οὐκ ἀρκεῖ μόνον τὸ μὴ ἀποδιδοναι κακὰ ἀλλὰ δεῖ καὶ προνοεῖν τοῦ ποιήσαντος ἡμᾶς κακῶς καὶ γὰρ καὶ ἄνω οὐκ ἠρκέσθη τῶ μὴ καταρᾶσθαι τοὺς διώκοντας ἀλλὰ καὶ εὐλογεῖν προσέταξεν 
706	64r	Rom.12.18	ϛ  	εἰ δυνατὸν τὸ ἐξ ὑμῶν μετὰ πάντων ἀνθρώπων εἰρηνεύοντες 	ἐστι γὰρ ὅτε οὐ δυνατὸν ἔνθα περὶ εὐσεβείας ὁ λόγος τὸ δὲ ἐξ ὑμῶν τουτέστι σὺ τὸ σὸν ποίησον καὶ μὴ παράσχῃς ἔχθρας ἀφορμὴν μὴ Ἕλληνι μὴ Ἰουδαίωι τοῦτο γὰρ τὸ μετὰ πάντων 
707	64r	Rom.12.19	ζ  	μὴ ἑαυτοὺς ἐκδικοῦντες ἀγαπητοὶ ἀλλὰ δότε τόπον τῆι ὀργῆι 	ἐπειδὴ τοῦτο ἀκολουθον τὸν ἠδικημένον ἐκδικίας τυχεῖν τοῦτο αὐτο ἐπαγγέλλεται σοι φησι μὴ ἐκδικήσῃς σεαυτὸν καὶ ὁ θεός σε ἐκδικεῖ δότε γάρ φησι τόπον καὶ χώραν τῆι ὀργῆι τοῦ θεοῦ ἐλθεῖν ἂν γὰρ σὺ μὴ ἀμύνηι ἥξει ἡ ὀργή 
707ex	64r	Rom.12.19	Ιω(αννου) *  		ἐπειδὴ τοῦτο μάλιστα ὁ ἀδικηθεὶς ἐπιθυμεῖ ἰδεῖν ἐκδικίας ἑαυτὸν ἀπολαύοντα τοῦτο αὐτον μετὰ πολλῆς δίδωσι περιουσίας ἂν γὰρ αὐτος μὴ ἀμύνῃ θεὸς ἔσται ὁ τιμωρὸς συγχώρησον οὖν αὐτῶι ἐπεξελθεῖν τοῦτο γὰρ τὸ δότε τόπον τῆι ὀργῆι 
708	64r	Rom.12.19	η  	γέγραπται γάρ 	παραμυθούμενος πλέον τὸν ἠδικημένον ἤγαγε τὴν μαρτυρίαν 
709	64r	Rom.12.19	θ  	ἐμοι εδικησις ἐγὼ αντανποδωσω λέγει κύριος 	ἐμοι τουτέστι παρ' ἐμοι 
710	64r	Rom.12.20	ι  	εὰν οὖν πεινᾷ ὁ ἐχθρός σου ψώμιζε αὐτον εὰν διψᾷ πότιζε αὐτον τοῦτο γὰρ ποιῶν ἄνθρακας πυρὸς σωρεύσεις ἐπὶ τὴν κεφαλὴν αὐτοῦ 	μὴ μόνον φησι εἰρηνεύετε καὶ μὴ ἀμύνεσθε ἀλλὰ καὶ εὐεργετεῖτε τρέφοντες ποτίζοντες εἶτα ἐπειδὴ βαρὺ ἦν ἐπάγει ὅτι πῦρ αὐτῶι σωρεύσεις τοῦτο ποιῶν τοῦτο δὲ εἶπε καὶ τοῦτον παραμυθούμενος καὶ τὸν ἠδικηκότα φοβῶν 
710Ph	64v	Rom.12.20	Φωτ(ιου) *  		τοῦτο γὰρ ποιῶν ἄνθρακας Εἰ καὶ σοῦ εὐεργετοῦντος τὸν ἐχθρον ὁ θεὸς ἐκδικῶν σε ὀργίζεται αὐτῷ καὶ πῦρ πειρασμῶν καὶ κακώσεων ἃ κατὰ τοῦ πλησίον ἐκεῖνος ἐτέκταινεν ἐπὶ τὴν κεφαλὴν αὐτοῦ στρέφει ἀλλ' οὖν σὺ μὴ διὰ τοῦτο θελήσῃς αὐτὸν εὐεργετεῖν ἵνα ἐν τοιούτοις αὐτὸν κακοῖς ἴδῃς ἐπεὶ ἐνικήθης ὑπὸ τοῦ κακοῦ κἀκεῖνος {μὲν ἃ /μὲν οὐδὲν ἧττον ἃ }* ἔδει παθεῖν αὐτὸν πάσχει σὺ δὲ ἀπώλεσας τὸν μισθὸν νικηθεὶς ὑπὸ τοῦ κακοῦ μᾶλλον δὲ εἰ τοιαύτην σου τὴν γνώμην ὁ θεὸς ἴδῃ οὐδ' ἐκδικεῖ τὸν γὰρ ἀγαθον τὸν πρᾷον τὸν ἀδικηθέντα ἐκδικεῖ ἀλλ' οὐχὶ τὸν διὰ τοῦ θυμοῦ καὶ τῆς προαιρέσεως ἑαυτὸν ἐκδικήσαντα καὶ διὰ πράξεως ἀγαθῆς τῆς εὐεργεσίας πονηρευσάμενον τὴν διαφθορὰν ἰδεῖν τοῦ λυπήσαντος εὐεργέτει οὖν σὺ ἵνα νικήσῃς τὸ κακὸν καὶ ἵνα γένῃ υἱος ὡς ὁ κύριος φησι τοῦ ἐν οὐρανῶι πατρός 
